S000,lng_w,lat_w,lng_h,lat_h
2,135.2039939,34.6694625,135.21817224915523,34.65899196439784
4,135.2101714,34.6639883,135.2153671164069,34.66506159508417
2,135.2140986,34.6696569,135.2041920700452,34.67300223258746
2,135.2140986,34.6696569,135.2231122645331,34.65939692947901
4,135.2140986,34.6696569,135.20289641457123,34.66283686883974
2,135.2182844,34.6659964,135.20747248669312,34.67194701950621
2,135.2039939,34.6694625,135.22596261262257,34.65497177346648
4,135.2140986,34.6696569,135.2126438092508,34.67135857073432
1,135.2126072,34.66373,135.22302417936976,34.663991389984766
4,135.2182844,34.6659964,135.22621291053167,34.66930558605903
2,135.210735,34.6631078,135.2072049812951,34.6698642792688
5,135.2182844,34.6659964,135.21588734921508,34.65492569265595
3,135.2039939,34.6694625,135.2021426688171,34.65921521889037
3,135.2140986,34.6696569,135.21081157704108,34.66459063031117
4,135.2126072,34.66373,135.22967435059337,34.656413456734754
1,135.2140986,34.6696569,135.21114688655993,34.655283735662024
4,135.2126072,34.66373,135.21175841345544,34.658019340494675
4,135.2182844,34.6659964,135.20892737631942,34.6577177875315
3,135.210735,34.6631078,135.22924539490396,34.65980436931018
5,135.2182844,34.6659964,135.21969167230233,34.67202282081577
4,135.2140986,34.6696569,135.22300049645244,34.65715347658341
2,135.2126072,34.66373,135.22403359848875,34.65924168509225
2,135.2039939,34.6694625,135.20657697679314,34.670251852080334
5,135.2101714,34.6639883,135.20899647308116,34.655057554515956
2,135.2182844,34.6659964,135.2232668886776,34.66236472825762
5,135.2126072,34.66373,135.20824075345777,34.65959759302865
5,135.210735,34.6631078,135.22386483261354,34.66272984081391
4,135.210735,34.6631078,135.22416664911648,34.65615627036548
1,135.2126072,34.66373,135.20588668924682,34.66667918895233
4,135.210735,34.6631078,135.21673149504977,34.67311084022857
2,135.2039939,34.6694625,135.202191256831,34.653802429676695
3,135.2126072,34.66373,135.20762900654566,34.66861310064117
3,135.2126072,34.66373,135.2175719742662,34.65821027883414
5,135.2101714,34.6639883,135.21528068130615,34.672999441940796
5,135.2039939,34.6694625,135.2125444351523,34.66039593450833
4,135.2126072,34.66373,135.20578831471468,34.65720083121326
1,135.2126072,34.66373,135.2263753238578,34.65536226974121
4,135.2039939,34.6694625,135.22303415241402,34.6713322042864
1,135.2101714,34.6639883,135.21601285754278,34.66601041735656
3,135.210735,34.6631078,135.22270596587396,34.67108285018577
3,135.210735,34.6631078,135.21650326519134,34.657212351375016
4,135.2039939,34.6694625,135.21949886697072,34.66430242292761
1,135.2182844,34.6659964,135.2112599839505,34.658911099002516
3,135.2126072,34.66373,135.20920689557394,34.65585752072863
1,135.210735,34.6631078,135.2076955082262,34.6699962209514
4,135.2101714,34.6639883,135.22852894313098,34.66150690867971
5,135.2101714,34.6639883,135.22516622796465,34.66693853128971
5,135.2126072,34.66373,135.21816777661596,34.66158584338066
1,135.2101714,34.6639883,135.2207503632463,34.65271894758622
4,135.2182844,34.6659964,135.22917879244693,34.67176103189512
5,135.2101714,34.6639883,135.21591713117778,34.65400870430009
1,135.2039939,34.6694625,135.22499202414332,34.65448433798664
3,135.2182844,34.6659964,135.2198495970576,34.65217166091289
5,135.210735,34.6631078,135.20625114682846,34.66608320969667
5,135.210735,34.6631078,135.21193276733027,34.671919174010334
3,135.2140986,34.6696569,135.21887423138946,34.669011697681476
3,135.2039939,34.6694625,135.21585969649976,34.65226276750686
3,135.2101714,34.6639883,135.20272827372543,34.662108691450385
3,135.2140986,34.6696569,135.22755211324653,34.66331826349909
4,135.210735,34.6631078,135.2251445593019,34.664586393812975
4,135.2039939,34.6694625,135.21434821514808,34.65795231892095
1,135.2182844,34.6659964,135.2051528947997,34.669123360013714
3,135.2126072,34.66373,135.2099387695289,34.657823827224966
5,135.2182844,34.6659964,135.20467384555715,34.65672711832802
2,135.210735,34.6631078,135.2122597376976,34.653620849142214
2,135.2182844,34.6659964,135.22886765880622,34.65501027820966
3,135.2039939,34.6694625,135.22224561295408,34.66192255716252
3,135.2182844,34.6659964,135.21116483050628,34.65825986375022
2,135.2182844,34.6659964,135.21374228897687,34.66689991342065
1,135.2039939,34.6694625,135.20870099257058,34.65480356539376
5,135.210735,34.6631078,135.20263020445137,34.67289400504701
4,135.2140986,34.6696569,135.2064890305952,34.672256994558616
5,135.2101714,34.6639883,135.21330376161865,34.66697968480213
2,135.210735,34.6631078,135.20435743925697,34.673021587757425
2,135.210735,34.6631078,135.20875984480287,34.66908175104654
1,135.210735,34.6631078,135.22441246111623,34.66364892929781
4,135.2039939,34.6694625,135.20955823487796,34.65597308382129
2,135.2126072,34.66373,135.20704897208677,34.67140308828065
4,135.2101714,34.6639883,135.22246957635016,34.67283061834156
4,135.2126072,34.66373,135.22189248579915,34.6638634458599
4,135.2039939,34.6694625,135.21881906584537,34.65474623127355
4,135.2140986,34.6696569,135.20839229259443,34.66363745742444
4,135.210735,34.6631078,135.20417280353217,34.659739308508065
5,135.2182844,34.6659964,135.22117417436553,34.65342528749638
4,135.210735,34.6631078,135.22716401639414,34.66830421712497
5,135.2140986,34.6696569,135.22979058683813,34.65599400311295
5,135.2101714,34.6639883,135.21595622359297,34.67218491881924
4,135.2039939,34.6694625,135.2100221408252,34.66980154776425
2,135.2126072,34.66373,135.21729468777534,34.670824017373576
2,135.210735,34.6631078,135.20578558162444,34.6583805961073
3,135.2126072,34.66373,135.2122104154322,34.65760912787743
4,135.2039939,34.6694625,135.20840623111982,34.670255393151095
5,135.2101714,34.6639883,135.22861559124652,34.65880919084698
3,135.210735,34.6631078,135.22717274563573,34.66161862513678
4,135.2039939,34.6694625,135.21678951635207,34.672342620764695
2,135.2101714,34.6639883,135.21068275022844,34.66616909488214
2,135.210735,34.6631078,135.22544426002725,34.65338602094029
1,135.210735,34.6631078,135.22289598584783,34.66039924042765
1,135.2039939,34.6694625,135.2054383939546,34.654231948379895
4,135.2039939,34.6694625,135.2052582161015,34.662487344783656
1,135.210735,34.6631078,135.2204771784912,34.66807340883334
5,135.2126072,34.66373,135.22276958996818,34.65360706189577
1,135.210735,34.6631078,135.22273107828494,34.66979721615879
3,135.2039939,34.6694625,135.22855034930842,34.66259023637861
5,135.2039939,34.6694625,135.2262659537691,34.65508542247592
1,135.2140986,34.6696569,135.21298271559004,34.65578515824265
1,135.2101714,34.6639883,135.21941876914525,34.652657227419596
5,135.2101714,34.6639883,135.22408924066755,34.659760287961234
1,135.2039939,34.6694625,135.22260205745778,34.66679980680755
4,135.2039939,34.6694625,135.228922299789,34.654926043718575
3,135.2182844,34.6659964,135.2207581603707,34.66936998491907
3,135.2039939,34.6694625,135.22392159286392,34.65776039043873
4,135.2101714,34.6639883,135.22771536140525,34.65603363879316
1,135.2101714,34.6639883,135.21634829504174,34.65402939386045
5,135.210735,34.6631078,135.2251386168956,34.65547122085002
5,135.2039939,34.6694625,135.2070552763595,34.668790518254085
2,135.2182844,34.6659964,135.22158007763963,34.661312401104155
1,135.2140986,34.6696569,135.2079615473293,34.66272485598773
5,135.2039939,34.6694625,135.204471777727,34.66273462804276
3,135.2101714,34.6639883,135.21422744644087,34.65896566701016
1,135.2126072,34.66373,135.21643465595233,34.665721758762594
2,135.2126072,34.66373,135.20617249371173,34.65521995141237
3,135.2126072,34.66373,135.2285391575043,34.664910169024566
5,135.2126072,34.66373,135.20226365577463,34.66687647632359
3,135.210735,34.6631078,135.2057590731415,34.65423234750607
1,135.2039939,34.6694625,135.21911544115915,34.662851193049114
5,135.2140986,34.6696569,135.20784120425358,34.6550809775138
