S000,lng_w,lat_w,lng_h,lat_h,dis,sum_p
4,135.2182844,34.6659964,135.2250261819791,34.65448719969734,1.4,2525
4,135.2140986,34.6696569,135.2210759054919,34.672437673929096,0.7,2017
3,135.2101714,34.6639883,135.2050949035402,34.66414846274299,0.5,456
2,135.2140986,34.6696569,135.2124634554117,34.674727087800996,0.6,2017
4,135.2140986,34.6696569,135.2188088034705,34.67705584705134,0.9,2017
5,135.2140986,34.6696569,135.21306858139144,34.668674310459416,0.1,2017
2,135.2182844,34.6659964,135.22619353265506,34.66035073360843,1.0,2525
3,135.2126072,34.66373,135.2187377096112,34.656948818368456,0.9,781
2,135.210735,34.6631078,135.2113763315566,34.661729043607096,0.2,1076
4,135.2182844,34.6659964,135.22556398881554,34.65859931326467,1.1,2525
2,135.2182844,34.6659964,135.22230735946297,34.657019948495225,1.1,2525
1,135.2039939,34.6694625,135.20402636873,34.67380268101179,0.5,809
3,135.210735,34.6631078,135.21315264154535,34.65996413172865,0.4,1076
5,135.2182844,34.6659964,135.22447860426203,34.66412585715236,0.6,2525
1,135.2140986,34.6696569,135.21899947539595,34.67674560022244,0.9,2017
5,135.2140986,34.6696569,135.20962476436242,34.6762561028215,0.8,2017
4,135.2140986,34.6696569,135.21147285814493,34.66996289867585,0.2,2017
4,135.210735,34.6631078,135.20953062302758,34.655901998596846,0.8,1076
4,135.2182844,34.6659964,135.22377361338386,34.66721012556724,0.5,2525
3,135.2126072,34.66373,135.21696133200518,34.6617068565804,0.5,781
5,135.210735,34.6631078,135.21048315742152,34.65507256948072,0.9,1076
3,135.2182844,34.6659964,135.2273519458333,34.664086646766506,0.9,2525
3,135.210735,34.6631078,135.21517797266117,34.65505405260885,1.0,1076
4,135.2039939,34.6694625,135.20795923139298,34.675227842708864,0.7,809
3,135.2182844,34.6659964,135.2278037439475,34.671151517610795,1.0,2525
5,135.210735,34.6631078,135.20861554701483,34.654120773616754,1.0,1076
1,135.2039939,34.6694625,135.20518629733274,34.67068521669734,0.2,809
2,135.2182844,34.6659964,135.2200625984364,34.66026263874641,0.7,2525
4,135.210735,34.6631078,135.20731060104032,34.66145025544285,0.4,1076
4,135.2140986,34.6696569,135.2148069716397,34.66939306752979,0.1,2017
1,135.2140986,34.6696569,135.2101601686113,34.67860797170178,1.1,2017
4,135.2182844,34.6659964,135.22720926239293,34.663939069013466,0.8,2525
1,135.2182844,34.6659964,135.22493811071325,34.66551662293328,0.6,2525
2,135.2039939,34.6694625,135.20498427264957,34.66718193151531,0.3,809
4,135.2182844,34.6659964,135.21674255569056,34.66549213840034,0.2,2525
3,135.2182844,34.6659964,135.22001162776618,34.65974831015351,0.7,2525
1,135.2126072,34.66373,135.2137878793789,34.6647982327391,0.2,781
2,135.2101714,34.6639883,135.20873209602698,34.66343528604327,0.1,456
3,135.210735,34.6631078,135.210580366349,34.65421968453323,1.0,1076
2,135.2126072,34.66373,135.2126060896901,34.663961846048885,0.0,781
4,135.2126072,34.66373,135.21669789656224,34.65641264779592,0.9,781
1,135.2140986,34.6696569,135.21354919128083,34.67572202737835,0.7,2017
3,135.210735,34.6631078,135.2071058619382,34.65818169450776,0.6,1076
2,135.2039939,34.6694625,135.2065393015991,34.667413207497596,0.3,809
3,135.2101714,34.6639883,135.20948705109774,34.663535976807175,0.1,456
2,135.2039939,34.6694625,135.20731080244735,34.67519565442372,0.7,809
4,135.210735,34.6631078,135.20482231580297,34.65987456220278,0.6,1076
3,135.2182844,34.6659964,135.22431049069883,34.66736905433247,0.6,2525
4,135.2182844,34.6659964,135.22552475100062,34.674202784603175,1.1,2525
3,135.210735,34.6631078,135.20338507190502,34.65569316439273,1.1,1076
2,135.210735,34.6631078,135.2105321707186,34.659079936524996,0.4,1076
3,135.2101714,34.6639883,135.207954501976,34.66288559388809,0.2,456
2,135.2140986,34.6696569,135.21825607034077,34.67130580262048,0.4,2017
2,135.2140986,34.6696569,135.21637339201752,34.66973440113108,0.2,2017
5,135.2140986,34.6696569,135.2165451118239,34.67176414055522,0.3,2017
2,135.2140986,34.6696569,135.21685916740628,34.67695148949682,0.8,2017
4,135.2126072,34.66373,135.21487524594238,34.6586423615694,0.6,781
3,135.2182844,34.6659964,135.22056790367074,34.65971232408606,0.7,2525
3,135.2140986,34.6696569,135.21460024991242,34.67604727071396,0.7,2017
3,135.2101714,34.6639883,135.20319883752583,34.66108791658463,0.7,456
1,135.210735,34.6631078,135.20392649938324,34.660331093749996,0.7,1076
2,135.2182844,34.6659964,135.22270208196127,34.65455961483063,1.3,2525
1,135.2182844,34.6659964,135.22613687833098,34.660440540055134,0.9,2525
1,135.2140986,34.6696569,135.2239992901275,34.6765204112799,1.2,2017
5,135.2140986,34.6696569,135.214423643003,34.676380208673564,0.7,2017
4,135.2182844,34.6659964,135.21822944468246,34.66588895236347,0.0,2525
5,135.2182844,34.6659964,135.22435892521048,34.66386056503295,0.6,2525
3,135.2126072,34.66373,135.21427067901365,34.65920354130941,0.5,781
